Cluster,z,l,b,T,T_plus,T_minus,Lx,sigma_L,f,N_Hot,Z,Z_plus,Z_minus,Instrument
A2104,0.153,2.818,39.212,9.443,0.371,0.359,4.862,10.1,6.72,14.50,0.401,0.115,0.109,Chandra
A0021,0.094,114.819,-33.711,6.134,0.648,0.434,1.428,11.6,6.68,4.46,0.624,0.243,0.251,Chandra
RXJ1740.5+3539,0.043,60.603,29.071,2.149,0.249,0.29,0.280,6.8,6.58,2.64,0.16,0.035,0.044,XMM-Newton
Zw1420.2+4952,0.072,91.322,61.677,2.283,0.231,0.203,0.797,8.0,6.57,2.09,0.197,0.052,0.028,XMM-Newton
A3856,0.141,2.744,-56.171,6.931,0.547,0.552,3.395,10.2,6.55,1.18,0.432,0.147,0.185,Chandra
A3490,0.070,287.732,26.484,5.817,0.561,0.537,0.833,15.6,6.51,9.69,0.372,0.065,0.063,XMM-Newton
A0602,0.062,191.462,25.516,3.872,0.454,0.375,0.585,21.0,6.50,3.99,0.331,0.065,0.058,XMM-Newton
A3806,0.076,336.952,-45.734,4.854,0.491,0.517,0.926,34.6,6.49,2.86,0.324,0.062,0.062,XMM-Newton
A3638*,0.080,355.356,-24.025,2.98,0.281,0.247,1.025,24.1,6.44,7.36,0.26,0.048,0.053,XMM-Newton
A1631,0.046,303.574,47.489,1.306,0.119,0.118,0.317,14.9,6.42,3.99,0.076,0.016,0.076,XMM-Newton
A3444,0.260,266.827,25.078,8.13,0.61,0.55,12.548,9.7,6.41,6.97,0.576,0.144,0.122,Chandra
RXJ2129.6+0005,0.235,53.670,-34.474,7.139,0.388,0.35,10.004,11.2,6.37,4.21,0.39,0.173,0.144,Chandra
A3497,0.068,290.256,30.199,3.006,0.335,0.279,0.727,32.4,6.23,6.90,0.168,0.037,0.028,XMM-Newton
A1185,0.031,202.971,67.749,1.963,0.171,0.133,0.139,26.1,6.15,1.95,0.125,0.042,0.035,Chandra
RXJ1347.5-1145*,0.447,324.035,48.812,16.753,1.183,0.894,35.140,10.4,6.14,5.82,0.354,0.094,0.085,Chandra
A0500,0.067,220.577,-38.484,5.01,0.425,0.413,0.673,16.1,6.12,3.53,0.483,0.056,0.054,XMM-Newton
A2941*,0.121,285.500,-62.262,7.301,0.692,0.661,2.214,16.9,6.09,2.91,0.488,0.046,0.048,XMM-Newton
A1451,0.199,288.265,39.973,9.704,1.105,1.041,6.605,21.4,6.06,4.48,0.269,0.081,0.078,XMM-Newton
A2622,0.061,102.790,-32.498,2.416,0.246,0.207,0.543,20.0,6.04,5.75,0.366,0.029,0.019,XMM-Newton
A3122,0.064,247.581,-56.069,4.854,0.442,0.425,0.582,9.7,6.03,1.57,0.282,0.048,0.047,XMM-Newton
Zw1703.8*,0.097,18.813,22.409,6.989,0.793,0.735,1.666,21.0,5.97,19.00,0.428,0.042,0.071,XMM-Newton
A2443,0.107,80.387,-33.224,6.305,0.127,0.161,1.813,20.0,5.94,6.31,0.425,0.059,0.056,Chandra
A1757*,0.123,315.371,38.565,6.526,0.642,0.656,2.344,93.6,5.91,9.40,0.381,0.083,0.087,XMM-Newton
A1927*,0.095,34.784,67.662,6.783,1.279,1.005,1.288,10.5,5.90,2.54,0.32,0.512,0.227,Chandra
A3814,0.118,16.602,-50.212,4.399,0.431,0.415,2.035,12.9,5.90,2.10,0.425,0.057,0.056,XMM-Newton
A2064*,0.065,79.876,54.049,3.7,0.41,0.399,0.590,23.4,5.86,1.71,0.326,0.267,0.225,Chandra
A2218,0.171,97.744,38.127,6.75,0.362,0.323,4.623,4.4,5.85,2.83,0.333,0.117,0.108,Chandra
A3854,0.149,8.457,-56.330,6.156,0.758,0.656,3.449,10.7,5.84,1.25,0.21,0.15,0.113,Chandra
A1553,0.165,285.589,72.733,7.65,0.817,0.631,4.189,10.9,5.83,2.29,0.558,0.237,0.236,Chandra
A0013,0.094,72.276,-78.455,4.719,0.196,0.194,1.246,11.3,5.82,2.13,0.332,0.061,0.071,Chandra
MKW11,0.022,335.015,72.244,1.061,0.023,0.022,0.066,13.4,5.82,2.27,0.285,0.076,0.053,Chandra
S0868*,0.061,22.879,-29.105,3.63,0.347,0.39,0.502,20.6,5.81,5.85,0.384,0.091,0.075,XMM-Newton
RXCJ0510.7-0801,0.220,208.598,-26.006,8.638,0.626,0.492,7.876,10.7,5.80,8.88,0.607,0.135,0.158,Chandra
APMCC772*,0.089,336.029,-51.363,3.817,0.601,0.519,1.007,24.4,5.77,1.90,0.265,0.16,0.039,XMM-Newton
S0384*,0.061,246.009,-51.760,3.025,0.358,0.345,0.491,21.6,5.74,1.29,0.499,0.036,0.065,XMM-Newton
CID28*,0.039,217.445,-33.625,2.45,0.16,0.15,0.210,23.7,5.72,4.91,0.871,0.175,0.148,Chandra
A3836*,0.113,342.543,-50.959,5.285,0.644,0.552,1.753,17.5,5.70,1.77,0.534,0.054,0.101,XMM-Newton
A2399,0.058,49.815,-44.541,3.915,0.554,0.387,0.446,19.0,5.68,3.41,0.57,0.093,0.09,XMM-Newton
RXCJ1314.4-2515,0.244,309.482,37.317,10.628,0.947,0.907,10.676,16.5,5.68,8.95,0.358,0.049,0.048,XMM-Newton
S0851,0.010,350.900,-32.639,0.913,0.016,0.018,0.012,30.4,5.67,4.63,0.453,0.096,0.072,Chandra
RXJ0228.2+2811*,0.043,147.571,-30.009,1.449,0.067,0.104,0.272,20.4,5.66,10.70,0.041,0.024,0.019,Chandra
A0407,0.046,150.614,-19.933,2.504,0.151,0.139,0.343,26.1,5.61,17.50,0.338,0.102,0.079,Chandra
A3570,0.038,314.850,23.711,2.242,0.215,0.215,0.194,33.8,5.61,6.37,0.345,0.057,0.052,XMM-Newton
A0022,0.141,42.851,-82.977,7.414,0.743,0.708,2.897,12.1,5.59,2.55,0.265,0.06,0.059,XMM-Newton
A0773,0.217,166.093,43.368,8.917,0.599,0.532,7.121,9.0,5.55,1.34,0.61,0.128,0.135,Chandra
A2254,0.178,41.438,29.107,7.548,0.631,0.609,4.810,9.3,5.53,5.53,0.295,0.041,0.04,XMM-Newton
A1918,0.139,106.401,50.819,5.489,0.497,0.498,2.573,11.2,5.52,1.42,0.277,0.23,0.18,Chandra
A1035,0.079,179.316,58.472,2.277,0.396,0.282,0.811,10.4,5.52,1.12,0.433,0.135,0.118,XMM-Newton
A2402*,0.081,47.528,-45.776,2.916,0.321,0.365,0.886,14.4,5.52,4.24,0.46,0.075,0.092,XMM-Newton
ZwCl4905,0.075,276.859,66.152,3.932,0.377,0.366,0.743,10.4,5.50,1.54,0.415,0.044,0.043,XMM-Newton
A1763,0.228,92.660,73.452,9.198,0.852,0.662,8.111,8.1,5.47,0.84,0.574,0.203,0.194,Chandra
A1837,0.070,329.236,48.130,3.872,0.296,0.289,0.638,13.4,5.47,5.20,0.354,0.03,0.029,XMM-Newton
S0987,0.069,30.308,-51.402,2.627,0.448,0.462,0.616,15.0,5.45,2.42,0.197,0.081,0.072,XMM-Newton
A2721,0.115,352.146,-77.668,6.323,0.67,0.633,1.822,13.6,5.45,1.38,0.323,0.073,0.071,XMM-Newton
A3653,0.107,346.336,-30.319,4.732,0.499,0.412,1.581,14.3,5.42,4.99,0.529,0.209,0.167,Chandra
A0697,0.282,186.363,37.261,14.527,1.851,1.579,11.803,15.6,5.41,3.28,0.518,0.268,0.239,Chandra
A1204,0.171,230.650,65.454,3.974,0.325,0.397,4.034,10.8,5.40,1.36,0.106,0.111,0.08,Chandra
A0458,0.106,218.840,-50.783,4.295,0.424,0.405,1.443,10.0,5.40,1.28,0.359,0.058,0.055,XMM-Newton
RXCJ2124.3-7446*,0.062,317.663,-35.777,3.112,0.436,0.385,0.511,22.0,5.40,7.15,0.351,0.046,0.066,XMM-Newton
A2496*,0.121,47.720,-60.153,7.098,0.815,0.776,2.015,21.0,5.37,3.27,0.525,0.102,0.094,XMM-Newton
HerA,0.154,23.057,28.942,4.199,0.203,0.172,3.490,10.8,5.36,8.60,0.51,0.1,0.08,Chandra
RBS0653*,0.286,244.366,-32.130,10.09,0.69,0.48,11.926,9.2,5.36,2.26,0.459,0.094,0.098,Chandra
A2312,0.093,98.978,24.852,5.596,0.459,0.474,1.110,5.4,5.35,5.76,0.195,0.189,0.124,Chandra
A3140,0.173,245.471,-53.610,6.675,0.694,0.615,4.126,15.4,5.35,1.44,0.275,0.18,0.164,Chandra
A3984*,0.197,358.974,-67.268,8.489,1.229,0.724,5.382,21.6,5.34,1.67,0.43,0.132,0.064,XMM-Newton
A0543,0.171,225.559,-27.266,6.21,1.487,0.946,3.991,11.2,5.32,2.61,0.491,0.566,0.336,Chandra
A3396,0.176,249.893,-21.649,6.312,0.695,0.659,4.330,9.2,5.30,6.95,0.507,0.13,0.108,XMM-Newton
S1136,0.064,13.116,-73.048,2.123,0.237,0.253,0.505,20.5,5.29,1.28,0.37,0.08,0.073,XMM-Newton
A0980,0.158,163.712,53.546,7.456,0.828,0.694,3.408,9.2,5.28,0.83,0.46,0.225,0.207,Chandra
RXCJ1215.4-3900*,0.114,295.335,23.326,6.79,0.55,0.35,1.837,47.3,5.24,9.76,0.359,0.142,0.141,Chandra
A2328*,0.143,28.730,-33.561,7.036,0.704,0.683,2.675,15.8,5.23,5.42,0.301,0.065,0.054,XMM-Newton
Zw1717.9+5636,0.114,84.866,35.068,3.509,0.346,0.348,1.668,8.5,5.22,2.39,0.189,0.194,0.125,Chandra
A3558C,0.045,312.796,30.287,3.986,0.221,0.203,0.249,32.0,5.21,4.46,0.702,0.197,0.156,Chandra
S0520,0.295,262.246,-35.377,9.522,1.071,0.891,10.385,21.5,5.21,2.21,0.334,0.172,0.168,Chandra
RXCJ1353.4-2753,0.047,319.304,33.003,1.709,0.192,0.2,0.271,20.8,5.21,5.81,0.159,0.045,0.039,XMM-Newton
RBS1842*,0.138,39.954,-53.125,4.563,0.425,0.409,2.472,19.6,5.21,2.27,0.446,0.074,0.062,XMM-Newton
A3739*,0.159,0.409,-41.860,6.76,0.75,0.41,3.291,17.0,5.20,3.48,0.624,0.237,0.219,Chandra
A0761*,0.091,240.373,24.548,4.905,0.544,0.509,1.030,14.9,5.20,5.49,0.366,0.082,0.092,XMM-Newton
A1348*,0.113,277.351,47.091,4.631,0.446,0.119,1.601,15.0,5.19,2.98,0.428,0.05,0.044,XMM-Newton
A1648*,0.075,304.978,36.175,1.978,0.208,0.251,0.741,33.6,5.18,8.68,0.168,0.056,0.023,XMM-Newton
RXCJ1742.8+3900*,0.042,64.471,29.408,1.352,0.106,0.102,0.221,17.6,5.17,3.74,0.191,0.025,0.012,XMM-Newton
ZwCl3179,0.143,228.640,53.054,7.817,1.035,0.902,2.881,9.4,5.14,4.08,0.228,0.268,0.157,Chandra
Zw0959.6+3257,0.050,193.759,53.241,2.311,0.331,0.269,0.300,11.1,5.13,1.76,0.617,0.291,0.27,Chandra
A2533*,0.110,53.801,-63.036,3.712,0.383,0.362,1.539,26.7,5.13,2.91,0.322,0.106,0.031,XMM-Newton
RXCJ1337.4-4120*,0.051,312.148,20.713,2.111,0.189,0.193,0.338,21.0,5.11,8.52,0.457,0.061,0.067,XMM-Newton
A0209,0.206,159.877,-73.507,9.25,0.936,0.712,5.681,10.4,5.10,1.51,0.37,0.187,0.181,Chandra
A1758a,0.280,107.128,65.292,8.83,0.33,0.279,11.024,9.5,5.08,1.06,0.263,0.065,0.058,Chandra
A3744,0.038,21.436,-40.136,3.01,0.188,0.157,0.173,11.8,5.08,6.00,0.57,0.107,0.108,Chandra
A2442,0.090,56.917,-49.823,4.177,0.511,0.468,1.040,14.3,5.08,6.40,0.297,0.084,0.077,XMM-Newton
ZwCl2701,0.214,163.870,48.543,6.116,0.439,0.315,6.074,17.4,5.07,0.80,0.374,0.109,0.116,Chandra
A1142,0.035,240.076,59.151,2.029,0.128,0.153,0.144,13.7,5.06,2.44,0.192,0.057,0.059,Chandra
A2259,0.164,50.386,31.163,6.655,0.58,0.488,3.508,8.6,5.05,3.82,0.649,0.265,0.269,Chandra
MS1306.7*,0.084,312.143,60.939,3.484,0.442,0.337,0.858,15.1,5.05,1.88,0.223,0.113,0.087,XMM-Newton
